crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10347,6,1,0,0,0,0,0,0,0,0,0,0,0,5,25.38333333333333
Crew_10348,2,0,0,0,0,0,0,0,0,0,0,0,0,5,22.71666666666666
Crew_10349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10350,6,1,0,0,0,0,0,0,0,0,0,0,0,5,21.55
Crew_10352,4,2,0,0,0,0,0,0,0,0,0,0,0,3,16.716666666666665
Crew_10353,3,0,0,0,0,0,0,0,0,0,0,0,0,4,27.383333333333336
Crew_10354,1,1,0,0,0,0,0,0,0,0,0,0,0,3,13.399999999999999
Crew_10355,4,2,0,0,0,0,0,0,0,0,0,0,0,5,21.833333333333332
Crew_10356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10357,3,0,0,0,0,0,0,0,0,0,0,0,0,5,24.21666666666667
Crew_10358,1,0,0,0,0,0,0,0,0,0,0,0,0,3,15.816666666666666
Crew_10359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10361,5,0,0,0,0,0,0,0,0,0,0,0,0,5,26.666666666666668
Crew_10362,5,1,0,0,0,0,0,0,0,0,0,0,0,5,19.283333333333335
Crew_10364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
